food_code,name_jp,name_norm,kcal,protein_g,fat_g,carb_g,fiber_g,sugar_g,sodium_mg,salt_g,vitaminA,vitaminD,vitaminE,vitaminK,vitaminB1,vitaminB2,niacin,vitaminB6,vitaminB12,folate,vitaminC,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,group_name,source
01018,こむぎ　［小麦粉］　中力粉　1等,こむぎ 中力粉 1等,337.0,9.0,1.6,75.1,2.8,76.4,1.0,0.0,0.0,0.0,0.3,0.0,0.1,0.03,0.6,0.05,0.0,8.0,0.0,100.0,17.0,18.0,64.0,0.5,0.5,0.11,穀類,日本食品標準成分表（八訂）増補2023年から引用
01019,こむぎ　［小麦粉］　中力粉　2等,こむぎ 中力粉 2等,346.0,9.7,1.8,74.0,2.1,73.1,1.0,0.0,0.0,0.0,0.8,0.0,0.22,0.04,1.2,0.07,0.0,12.0,0.0,110.0,24.0,26.0,80.0,1.1,0.6,0.14,穀類,日本食品標準成分表（八訂）増補2023年から引用
01020,こむぎ　［小麦粉］　強力粉　1等,こむぎ 強力粉 1等,337.0,11.8,1.5,71.7,2.7,73.5,0.0,0.0,0.0,0.0,0.3,0.0,0.09,0.04,0.8,0.06,0.0,16.0,0.0,89.0,17.0,23.0,64.0,0.9,0.8,0.15,穀類,日本食品標準成分表（八訂）増補2023年から引用
01021,こむぎ　［小麦粉］　強力粉　2等,こむぎ 強力粉 2等,343.0,12.6,1.7,70.6,2.1,70.0,0.0,0.0,0.0,0.0,0.5,0.0,0.13,0.04,1.1,0.08,0.0,18.0,0.0,86.0,21.0,36.0,86.0,1.0,1.0,0.19,穀類,日本食品標準成分表（八訂）増補2023年から引用
01023,こむぎ　［小麦粉］　強力粉　全粒粉,こむぎ 強力粉 全粒粉,320.0,12.8,2.9,68.2,11.2,61.2,2.0,0.0,0.0,0.0,1.0,0.0,0.34,0.09,5.7,0.33,0.0,48.0,0.0,330.0,26.0,140.0,310.0,3.1,3.0,0.42,穀類,日本食品標準成分表（八訂）増補2023年から引用
01146,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,こむぎ プレミックス粉 お好み焼き用,335.0,10.1,1.9,73.6,2.8,74.1,1400.0,3.7,1.0,0.1,0.6,1.0,0.21,0.03,1.5,0.07,0.1,17.0,0.0,210.0,64.0,31.0,320.0,1.0,0.7,0.13,穀類,日本食品標準成分表（八訂）増補2023年から引用
01024,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,こむぎ プレミックス粉 ホットケーキ用,360.0,7.8,4.0,74.4,1.8,78.6,390.0,1.0,9.0,0.1,0.5,1.0,0.1,0.08,0.5,0.04,0.1,10.0,0.0,230.0,100.0,12.0,170.0,0.5,0.3,0.07,穀類,日本食品標準成分表（八訂）増補2023年から引用
01147,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,こむぎ プレミックス粉 から揚げ用,311.0,10.2,1.2,70.0,2.6,69.4,3800.0,9.7,5.0,0.0,0.3,2.0,0.15,0.07,1.3,0.12,0.0,26.0,0.0,280.0,110.0,39.0,130.0,1.2,0.7,0.1,穀類,日本食品標準成分表（八訂）増補2023年から引用
01025,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,こむぎ プレミックス粉 天ぷら用,337.0,8.8,1.3,76.1,2.5,77.1,210.0,0.5,1.0,0.0,0.3,0.0,0.12,0.99,0.9,0.06,0.0,12.0,0.0,160.0,140.0,19.0,120.0,0.6,0.5,0.12,穀類,日本食品標準成分表（八訂）増補2023年から引用
01171,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,こむぎ プレミックス粉 天ぷら用 バッター,132.0,3.3,0.5,30.2,1.9,30.3,64.0,0.2,3.0,0.0,0.1,0.0,0.04,0.16,0.4,0.02,0.0,3.0,0.0,67.0,84.0,6.0,51.0,0.2,0.1,0.04,穀類,日本食品標準成分表（八訂）増補2023年から引用
